E-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Ensemble/Song_name,Instruments_in_Ensemble,See_I-ids,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
453,CASTILE,26038,"The particular song used as the source material for this coding is from Zarzuela del Monte, Segovia",,1 Guitar,1197,,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 10: Castille. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D10.A7,@WCS1952Castille,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile (Zarzuela del Monte, Segovia)"
454,CASTILE,26071,"The particular song used as the source material for this coding is from Castile-La Mancha (Lagartera, Oropesa)",,1 Rabel (fiddle),1199,Two-stringed Moorish fiddle,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 10: Castille. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D10.A10,@WCS1952Castille,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile-La Mancha (Lagartera, Oropesa)"
455,CASTILE,26071,"The particular song used as the source material for this coding is from Castile-La Mancha (Lagartera, Oropesa)",,1 Friction drum (ximbomba),1201,,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 10: Castille. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D10.A10,@WCS1952Castille,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile-La Mancha (Lagartera, Oropesa)"
456,CASTILE,26071,"The particular song used as the source material for this coding is from Castile-La Mancha (Lagartera, Oropesa)",,1 Rabel (fiddle); 1 Tambourine; 1 Ximbomba (friction drum); 1 Castanet,1199; 1200; 1201; 1202,,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 10: Castille. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D10.A11,@WCS1952Castille,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile-La Mancha (Lagartera, Oropesa)"
457,CASTILE,26071,"The particular song used as the source material for this coding is from Castile-La Mancha (La Solana, Ciudad Real, Campo de Montiel)",,10 Mandolins; 10 Guitars; 10 Flutes,1196; 1197; 1198,,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 10: Castille. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D10.B2,@WCS1952Castille,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile-La Mancha (La Solana, Ciudad Real, Campo de Montiel)"
478,GALICIA,15676,,The Miller's Wife,2 Bagpipes; 1 Tambourine; 1 Drum,1232; 1234; 1233,,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 8: Galicia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D8.A1,@WCS1952Galicia,
479,GALICIA,15676,,,1 Scraper,1231,2 sea shells,"Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 8: Galicia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D8.B1,@WCS1952Galicia,
654,NORTH ITALY,"17375, 23662, 15522, 17403",,,Guitar; 1 Violin,1399; 1398,,"Lomax, A. (1954-55). Field research, North Italy.",,,@Lomax1954-55NorthItaly,
655,NORTH ITALY,17375,"Additional research suggests that in North Italy, the saltarello is mainly found in Romagna",Saltarello,1 Tambourine; 1 Bagpipe,1400; 1401,,"Lomax, A. (1954-55). Field research, North Italy.",,,@Lomax1954-55NorthItaly,
656,NORTH ITALY,"17375, 23662, 15522, 17403",,,1 Bagpipe; 2 Oboes,1401; 1402,,"Lomax, A. (1954-55). Field research, North Italy.",,,@Lomax1954-55NorthItaly,
657,NORTH ITALY,"17375, 23662, 15522, 17403",,Panpipe Orchestra,10 Panpipes,1403,,"Lomax, A. (1954-55). Field research, North Italy.",,,@Lomax1954-55NorthItaly,
658,NORTH ITALY,"17375, 23662, 15522, 17403",,,1 Trumpet; 1 Trombone; 1 Clarinet; 1 Accordion,1404; 1405; 1406; 1407,,"Lomax, A. (1954-55). Field research, North Italy.",,,@Lomax1954-55NorthItaly,
450,CASTILE,26071,"The particular song used as the source material for this coding is from Castile-La Mancha (Lagartera, Oropesa)",,1 Ximbomba (drum); 1 Rabel (fiddle); 1 Castanets,1201; 1199; 1202,Rabel = one-stringed fiddle,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A17,@CFPM1955Spain,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile-La Mancha (Lagartera, Oropesa)"
451,CASTILE,26038,"The particular song used as the source material for this coding is from Pegas de Matute, Segovia",,4 Mortar & Pestles ,1205,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A18,@CFPM1955Spain,"Printout says Extremadura, coding sheet says Castile, and this recording is from Castile (Pegas de Matute, Segovia)"
460,ANDALUCIA,"10572, 62547, 62415, 62416",,Fandango,3 Guitars; 2 Bandurrias; 1 Tambourine; 1 Castanet; 6 Clapping,1227; 1210; 1217; 1211; 1213,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.B20; 7D12.B22,@CFPM1955Spain,
461,ANDALUCIA,"10572, 62547, 62415, 62416",,Military,5 Trumpets; 5 Snare drums; 2 Bass drums,1219; 1225; 1226,Saeta,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.B23,@CFPM1955Spain,
463,ANDALUCIA,"10572, 62547, 62415, 62416",,Campanilleros,1 Castanets; 1 Tambourine; 1 Cantaro (vase & slipper); 1 Platillos (cymbals); 1 Triangle; 1 Handbell,1211; 1217; 1222; 1223; 1224; 1221,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.B26,@CFPM1955Spain,
464,ANDALUCIA,"10572, 62547, 62415, 62416",,,2 Guitars; 1 Trombone; 1 Trumpet; 1 Clarinet,1209; 1218; 1219; 1220,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.B28,@CFPM1955Spain,
465,ANDALUCIA,"10572, 62547, 62415, 62416",,,1 Pipe; 1 Tabor (with snare),1216; 1228,Played by one man (flute and tabor),"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.B24; 7D12.B31,@CFPM1955Spain,
473,GALICIA,15676,,,1 Panpipe (pito),1236,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A1,@CFPM1955Spain,
474,GALICIA,15676,,Alborada,1 Bagpipe,1232,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A1,@CFPM1955Spain,
475,GALICIA,15676,,,1 Bell,1235,Bell on muleteer's mule,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A3,@CFPM1955Spain,
476,GALICIA,15676,,,1 Bagpipe; 1 Drum,1232; 1215,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A5,@CFPM1955Spain,
466,ANDALUCIA,"10572, 62547, 62415, 62416",,,1 Castanet; 1 Tambourine,1211; 1217,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.; Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 1: Cities Of Andalusia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12; 7D1,@CFPM1955Spain @WCS1952CitiesOfAndalusia,
641,ANDALUCIA,"10572, 62547, 62415, 62416",,Serenade,2 Guitars,1227,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.; Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 1: Cities Of Andalusia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12; 7D1,@CFPM1955Spain @WCS1952CitiesOfAndalusia,
642,ANDALUCIA,"10572, 62547, 62415, 62416",,Boleros,1 Fiddle; 2 Guitars,1387; 1227,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.; Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 1: Cities Of Andalusia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12; 7D1,@CFPM1955Spain @WCS1952CitiesOfAndalusia,
477,GALICIA,15676,,,2 Tambourines (panderos),1234,,"Lomax, A. (1955). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. XIII: Spain. In Alan Lomax Collection, American Folklife Center, Library of Congress.; Lomax, A. (1952). [Liner notes]. Songs And Dances Of Spain Volume 8: Galicia. Westminster. In Alan Lomax Collection, American Folklife Center, Library of Congress.",,7D12.A6; 7D8.A2,@CFPM1955Spain @WCS1952Galicia,
659,S US,,Refers specifically to skiffle,Skiffle band,1 Guitar (banjo); 1 Jug; 1 Scraper (washboard); 1 Harmonica; 1 Kazoo; 1 Whistle; 1 Wood block; 1 Bow (wash tub); 2 Bones,1408; 1409; 1410; 1411; 1412; 1413; 1414; 1415; 1575,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
660,S US,,,,1 Guitar; 1 Stomping,1408; 1417; 1581,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
661,S US,62438,May refer to boogie woogie,,10 Clapping; 10 Stomping; 1 Piano,1416; 1417; 1427,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
662,S US,,,,3 Drums; 1 Rattle,1419; 1418,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
663,S US,"62483, 62426","Based on the instrumentation listed, seems to refer to fife and drum blues",,1 Snare drum; 1 Bass drum; 1 Fife; 5 Clapping,1424; 1423; 1422; 1416,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
664,S US,"24619, 62483, 62444, 62436, 62438","Based on the instrumentation listed, seems to refer to blues, but could refer to other folk musics as well",,1 Guitar; 1 Harmonica,1408; 1411,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
665,S US,"18349, 62435, 62425, 62437, 62427","Based on the instrumentation listed, seems to refer to bluegrass and old-time string bands",,1 Guitar; 1 Fiddle; 1 Bass; 1 Mandolin,1408; 1425; 1434; 1580,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
666,S US,,Refers specifically to jazz,Jazz band,1 Trumpet; 1 Clarinet; 1 Trombone; 1 Piano; 1 Banjo; 1 Tuba; 1 Bass drum; 1 Snare drum; 1 Cymbal; 1 Wood block,1431; 1429; 1430; 1427; 1436; 1433; 1423; 1424; 1435; 1414,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
667,S US,17579,"Refers specifically to brass band music, which additional research suggests is associated with New Orleans",Brass band,2 Trumpets; 2 Trombones; 2 Clarinets; 2 Saxophones; 1 Tuba; 1 Bass drum; 2 Snare drums; 1 Cymbal,1431; 1430; 1429; 1432; 1433; 1423; 1424; 1435,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
668,S US,,,,1 Piano,1427,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
733,S US,,Refers specifically to swing,Swing band,4 Trumpets; 2 Alto saxophones; 2 Tenor saxophones; 1 Baritone saxophone; 3 Trombones; 1 Clarinet; 1 Piano; 1 Bass; 1 Bass drum; 1 Snare drum; 4 Cymbals; 1 Guitar,1431; 1432; 1579; 1580; 1430; 1429; 1427; 1434; 1419; 1424; 1435; 1408,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
734,S US,,Refers specifically to bebop,Bop band,4 Trumpets; 2 Alto saxophones; 2 Tenor saxophones; 1 Baritone saxophone; 3 Trombones; 1 Piano; 1 Bass viol; 1 Bass drum; 1 Snare drum; 6 Cymbals; 2 Tom-toms,1431; 1432; 1579; 1580; 1430; 1427; 1434; 1419; 1424; 1435; 1581,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
735,S US,,Refers specifically to Ornette Coleman's band,Ornette Coleman,1 Trumpet; 1 Alto saxophone; 1 Bass viol; 1 Bass drum; 1 Snare drum; 6 Cymbals; 2 Tom-toms,1431; 1432; 1434; 1419; 1424; 1435; 1581,,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
736,S US,,Refers specifically to rock n' roll music,Rock n' roll band,3 Guitars; 1 Bass guitar; 1 Bass drum; 1 Snare drum; 4 Cymbals; 1 Piano; 2 Tenor saxophones,1408; 1582; 1419; 1424; 1435; 1427; 1579,All guitars are electrified,"Lomax, A. (1959-60). Field research, Southern U.S.",,,@Lomax1959-60SouthernUS,
646,CARRIACOU,13223,,Fiddle Band,1 Drum; 1 Tambourine; 1 Fiddle; 1 Claves,1390; 1392; 1391; 1393,,"Lomax, A. (1962). Field research, Carriacou.",,,@Lomax1962Carriacou,
648,CARRIACOU,13223,,,2 Drums; 1 Rattle; 12 Clapping,1397; 1396; 1394,,"Lomax, A. (1962). Field research, Carriacou.",,,@Lomax1962Carriacou,
394,TIBET,27028,,,1 Horn,1025,,"MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama,
395,TIBET,27028,,,1 Drum,1024,,"MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama,
396,TIBET,27028,,,1 Cymbals,1032,,"MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama,
397,TIBET,27028,,,1 Tambourine; 1 Guitar; 1 Flute,1035; 1036; 1039,,"MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama,
399,TIBET,27028,,,1 Fiddle,1037,,"MacDonald, D. (1929). The Land of the Lama. London: Seeley, Service and Co.",,,@MacDonald1929TheLandoftheLama,
307,IBAN,16974,,,2 Gongs; 1 Drum; 1 Gong set,868; 871; 869,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
308,IBAN,16974,,,1 Mouth organ,872,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
309,IBAN,16974,,Gendang labar,5 Drums; 1 Gong,871; 868,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
310,IBAN,16974,,,1 Bells,866,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
311,IBAN,16974,,,1 Flute,865,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
312,IBAN,16974,,,1 Lute,864,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
313,IBAN,16974,,,1 Jew's harp,863,,"Maceda, J. (1961). [Recording notes]. Iban of Borneo. Jose Maceda Collection, University of the Philippines Center for Ethnomusicology.",,T1583,@JMC1961IbanOfBorneo,
43,AINU,16809,,,1 Jew's harp,72,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.",,,@Malm1959JapaneseMusicandMusicalInstruments,
195,JAPAN,62532,Refers specifically to Mikomai Shinto shrine dance,Classic Mikomai accompaniment,1 Zither (wa-gon); 1 Flute (kagura-bue); 1 Oboe (hichiriki); 25 Hand bells (suzu),547; 500; 501; 546,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 46",,@Malm1959JapaneseMusicandMusicalInstruments,
196,JAPAN,62532,Refers specifically to Shinto,Traditional Shinto trio,1 Zither (wa-gon); 1 Flute (kagura-bue); 1 Oboe (hichiriki),547; 500; 501,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 42f, 47, 75",,@Malm1959JapaneseMusicandMusicalInstruments,
197,JAPAN,62532,"Refers to hayashi performers, who accompany Noh and Kabuki theater","Hayashi (fan dance ""Okima"")",3 Drums (ku-tsuzumi); 1 Drum (o-tsumi); 1 Flute (nohkan),533; 535; 534,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 122",,@Malm1959JapaneseMusicandMusicalInstruments,
198,JAPAN,17513,Refers specifically to gagaku tradition,Bugaku - kuma-gaku style,1 Drum (san-no-tsuzumi); 1 Drum (taiko); 1 Drum (da-daiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (koma-bue),524; 498; 520; 522; 517; 501; 518,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 99",,@Malm1959JapaneseMusicandMusicalInstruments,
199,JAPAN,17513,Refers specifically to gagaku tradition,For traditional koma-gaku?,1 Drum (san-no-tsuzumi); 1 Drum (taiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (koma-bue); 2 Lutes (biwa); 2 Zithers (gaku-so),524; 498; 522; 517; 501; 518; 532; 526,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 89, 99",,@Malm1959JapaneseMusicandMusicalInstruments,
200,JAPAN,17513,Refers specifically to gagaku tradition,For to-gaku?,1 Drum (kakko); 1 Drum (taiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (ryuteki); 2 Lutes (biwa); 2 Zithers (gaku-so),521; 498; 522; 517; 501; 519; 532; 526,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 89, 99, pl. 28",,@Malm1959JapaneseMusicandMusicalInstruments,
201,JAPAN,17513,Refers specifically to gagaku tradition,Bugaku - to-gaku style,1 Drum (kakko); 1 Drum (taiko); 1 Drum (da-daiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (ryuteki),521; 498; 520; 522; 517; 501; 519,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 100",,@Malm1959JapaneseMusicandMusicalInstruments,
202,JAPAN,17513,Refers specifically to gagaku tradition,Bugaku - to-gaku style,1 Drum (kakko); 1 Drum (taiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (ryuteki),521; 498; 522; 517; 501; 519,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 100",,@Malm1959JapaneseMusicandMusicalInstruments,
203,JAPAN,17513,Refers specifically to gagaku tradition,Modern koma-gaku,1 Drum (sam-no-tsuzumi); 1 Drum (taiko); 1 Gong (shoko); 3 Free reeds (sho); 3 Oboes (hichiriki); 3 Flutes (koma-bue),524; 498; 522; 517; 501; 518,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 100",,@Malm1959JapaneseMusicandMusicalInstruments,
204,JAPAN,62532,Refers specifically to Noh theater,Hayashi (Noh),1 Drum (ko-tsuzumi); 1 Drum (o-tsuzumi); 1 Flute (nohkan),533; 535; 534,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 126",,@Malm1959JapaneseMusicandMusicalInstruments,
205,JAPAN,62532,Refers specifically to Noh theater,Hayashi (Noh),1 Drum (ko-tsuzumi); 1 Drum (o-tsuzumi); 1 Drum (taiko); 1 Flute (nohkan),533; 535; 498; 534,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 109, 112, 126, 130, 266",,@Malm1959JapaneseMusicandMusicalInstruments,
206,JAPAN,"62532, 29288","Source and additional research refer to Zen Buddhism, among other uses of the shakuhachi",,5 Flutes (fukeshu shakuhachi),540,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 163",,@Malm1959JapaneseMusicandMusicalInstruments,
207,JAPAN,"62532, 29288","Source and additional research refer to Zen Buddhism, among other uses of the shakuhachi",,2 Flutes (shakuhachi),542,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 163",,@Malm1959JapaneseMusicandMusicalInstruments,
208,JAPAN,,Source refers specifically to Nichiren Buddhism,,13 Drums (uchiwa-daiko); 13 Drums (o-daiko),516; 504,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 70",,@Malm1959JapaneseMusicandMusicalInstruments,
210,JAPAN,,Refers specifically to Yuki Matsuri festival in Sapporo,Music for Yuki Matsuri,1 Flute; 1 Drum (o-daiko); 25 Rattles (bin-sasara),503; 504; 506,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 63",,@Malm1959JapaneseMusicandMusicalInstruments,
211,JAPAN,,Refers specifically to Yuki Matsuri festival in Sapporo,Music for Yuki Matsuri,1 Flute; 1 Drum (o-daiko),507; 504,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 63",,@Malm1959JapaneseMusicandMusicalInstruments,
212,JAPAN,,Refers specifically to Yuki Matsuri festival in Sapporo,Music for Yuki Matsuri,1 Flute; 1 Drum (o-daiko); 25 Bells (suzu),507; 504; 546,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 63",,@Malm1959JapaneseMusicandMusicalInstruments,
213,JAPAN,62532,"Refers to hayashi performers, who accompany Noh and Kabuki theater",Hayashi ,1 Drum (o-daiko); 2 Drums (taiko); 1 Flute (take-bue),504; 498; 503,Main instrumental group for folk festivals,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 48, 244",,@Malm1959JapaneseMusicandMusicalInstruments,
214,JAPAN,62532,"Refers to hayashi performers, who accompany Noh and Kabuki theater",Hayashi ,1 Drum (o-daiko); 2 Drums (taiko); 1 Flute (take-bue); 1 Gong (atari-gane),504; 498; 503; 502,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 49",,@Malm1959JapaneseMusicandMusicalInstruments,
215,JAPAN,17502,Refers to a Tendai Buddhist ceremony at a temple in Tokyo,Buddhist procession accompaniment,1 Drum (o-daiko); 1 Bell (densho/hansho),504; 505,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 68",,@Malm1959JapaneseMusicandMusicalInstruments,
216,JAPAN,62532,Refers specifically to Shinto,Traditional Shinto trio plus,1 Zither (wa-gon); 1 Flute (kagura-bue); 1 Oboe (hichiriki); 25 Percussion sticks,547; 500; 501; 545,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 42f, 47",,@Malm1959JapaneseMusicandMusicalInstruments,
122,CREE,14125,,,1 Drum,304,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 281-82",,@Mandelbaum1940ThePlainsCree,
123,CREE,14125,,,1 Rattle,313,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 277",,@Mandelbaum1940ThePlainsCree,
124,CREE,14125,,,4 Rattles,311,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 272",,@Mandelbaum1940ThePlainsCree,
125,CREE,14125,,,1 Rattle; 1 Rawhide drum; 4 Drums; 8 Whistles,313; 307; 306; 310,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 265",,@Mandelbaum1940ThePlainsCree,
126,CREE,14125,,,1 Rattle,313,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 254",,@Mandelbaum1940ThePlainsCree,
127,CREE,14125,,,1 Rattle,312,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 275",,@Mandelbaum1940ThePlainsCree,
523,WESTFRANCE,28568,Source refers specifically to Paris,,1 Hurdy-gurdy,1279,,"Marcel-Dubois, C. (1939). Instruments de musique et cris chantes dans les rues de Paris. Paris: Bulletin de la Fédération folklorique d’Ile de France, 47-50.",,,@Marcel-Dubois1939Paris,
525,WESTFRANCE,28568,Source refers specifically to Paris,,5 Bagpipes; 5 Oboes,1277; 1278,,"Marcel-Dubois, C. (1939). Instruments de musique et cris chantes dans les rues de Paris. Paris: Bulletin de la Fédération folklorique d’Ile de France, 47-50.",,,@Marcel-Dubois1939Paris,
524,WESTFRANCE,15445,The particular song used as the source material for this coding is from Berry,,3 Bagpipes; 3 Hurdy-gurdies,1277; 1279,,"Marcel-Dubois, C. & Lomax, A. (1954). [Liner notes]. Columbia World Library Of Folk And Primitive Music Vol. IV: France. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1955_016_004/",,7B1.A6,@CFPM1954France,
351,ANCIENTGREECE,16681,,,1 Lyre (kithara),969,,"Marcuse, S. (1964). Musical Instruments: A Comprehensive Dictionary. New York: Doubleday & Co.",,,@Marcuse1964MusicalInstruments,
352,ANCIENTGREECE,16681,,,1 Lyre (lyra),968,,"Marcuse, S. (1964). Musical Instruments: A Comprehensive Dictionary. New York: Doubleday & Co.",,,@Marcuse1964MusicalInstruments,
